WD,WS,ETOT,TP,VMD,ETTSea,TPSea,VMDSea,ETTSw,TPSw,VMDSw,MO1,MO2,HS,DMDIR,ANGSPR,INLINE,GRIDPOINT,Datetime
330.4,10.63,0.512,16.028,114.3,0.31,7.393,131.6,0.202,16.028,85.9,0.457,0.504,2.864,117.5,0.7995,0.7328,GN018918,1980-02-23 02:00:00
330.8,11.42,0.598,15.814,116.0,0.403,8.064,131.3,0.195,15.818,80.8,0.534,0.584,3.093,119.8,0.7911,0.7294,GN018918,1980-02-24 08:00:00
331.6,10.53,0.641,10.169,116.3,0.362,7.295,134.8,0.279,15.637,90.5,0.561,0.599,3.202,120.7,0.7858,0.7313,GN018918,1980-02-22 10:00:00
332.6,9.69,0.613,10.385,115.0,0.273,6.678,136.7,0.34,10.516,96.7,0.52,0.542,3.131,120.4,0.7832,0.7371,GN018918,1980-03-01 00:00:00
344.1,8.97,0.556,10.472,114.1,0.183,6.004,142.5,0.373,10.506,99.6,0.465,0.48,2.982,120.7,0.7724,0.7353,GN018918,1980-03-02 06:00:00
357.4,8.26,0.486,10.482,113.6,0.117,5.413,152.8,0.368,10.488,101.0,0.406,0.424,2.787,121.2,0.7476,0.7227,GN018918,1980-03-03 12:00:00
358.1,6.92,0.406,10.421,111.6,0.068,4.516,161.5,0.338,10.421,102.1,0.338,0.353,2.548,121.1,0.7224,0.7114,GN018918,1980-03-04 18:00:00
359.2,5.7,0.329,10.261,107.7,0.035,3.811,167.6,0.294,10.261,101.3,0.27,0.279,2.295,120.4,0.7056,0.7023,GN018918,1980-03-02 20:00:00
350.9,5.87,0.271,9.993,103.5,0.033,3.811,156.4,0.238,9.993,96.5,0.222,0.229,2.081,119.6,0.6918,0.6891,GN018918,1980-03-04 02:00:00
344.0,6.1,0.232,13.918,100.5,0.038,4.453,145.8,0.195,13.918,91.4,0.194,0.207,1.929,118.9,0.6799,0.6745,GN018918,1980-03-05 08:00:00
344.3,7.42,0.214,13.532,100.6,0.062,5.435,140.2,0.153,13.532,82.8,0.189,0.216,1.852,119.2,0.6671,0.66,GN018918,1980-03-03 10:00:00
344.5,8.82,0.223,13.255,106.6,0.106,6.685,140.2,0.117,13.255,71.0,0.214,0.263,1.888,123.0,0.6519,0.6472,GN018918,1980-03-11 00:00:00
344.8,6.83,0.225,13.163,108.1,0.073,4.523,152.1,0.153,13.163,86.3,0.22,0.273,1.899,120.2,0.6544,0.6462,GN018918,1980-03-12 06:00:00
345.3,4.87,0.206,13.272,102.2,0.025,3.322,159.0,0.181,13.272,95.1,0.19,0.226,1.816,111.7,0.6819,0.6629,GN018918,1980-03-13 12:00:00
354.6,4.17,0.19,15.561,96.3,0.012,3.59,165.7,0.178,15.561,92.7,0.163,0.183,1.743,104.7,0.7224,0.691,GN018918,1980-03-14 18:00:00
8.6,3.48,0.182,15.478,92.5,0.006,3.122,169.9,0.175,15.478,90.5,0.146,0.155,1.705,99.9,0.7596,0.7213,GN018918,1980-03-12 20:00:00
332.3,3.14,0.18,15.322,90.4,0.007,3.156,136.5,0.173,15.322,89.0,0.137,0.139,1.695,97.1,0.792,0.7503,GN018918,1980-03-14 02:00:00
198.2,3.82,0.183,15.049,88.9,0.005,2.925,53.4,0.178,15.049,89.9,0.135,0.134,1.71,95.4,0.8177,0.7735,GN018918,1980-03-15 08:00:00
259.0,5.86,0.194,14.685,88.1,0.028,4.547,88.7,0.166,14.685,88.0,0.147,0.151,1.762,94.4,0.8354,0.7895,GN018918,1980-03-13 10:00:00
250.1,5.27,0.215,14.488,88.8,0.028,3.754,81.1,0.187,14.488,89.9,0.172,0.185,1.855,94.5,0.8466,0.7996,GN018918,1980-03-21 00:00:00
302.0,5.88,0.246,14.359,90.5,0.041,4.126,104.2,0.205,14.359,88.0,0.205,0.225,1.984,95.6,0.8511,0.8033,GN018918,1980-03-22 06:00:00
91.8,4.14,0.281,14.266,92.0,0.0,3.306,279.1,0.281,14.266,92.0,0.234,0.248,2.121,96.0,0.8526,0.8051,GN018918,1980-03-23 12:00:00
65.6,4.92,0.307,14.18,91.9,0.001,3.316,201.9,0.306,14.18,91.7,0.248,0.245,2.217,95.6,0.8612,0.8139,GN018918,1980-03-24 18:00:00
106.9,5.25,0.318,14.072,91.4,0.002,2.181,313.2,0.317,14.072,91.6,0.249,0.234,2.257,95.2,0.8655,0.8197,GN018918,1980-03-22 20:00:00
82.6,6.46,0.319,9.611,90.6,0.004,2.723,273.0,0.315,9.611,90.6,0.251,0.243,2.257,94.9,0.8313,0.8209,GN018918,1980-03-24 02:00:00
71.6,7.82,0.36,9.655,90.5,0.058,3.358,264.6,0.302,9.655,89.3,0.342,0.418,2.4,93.7,0.542,0.8025,GN018918,1980-03-25 08:00:00
59.3,6.31,0.355,13.306,88.2,0.063,4.138,253.5,0.293,13.306,84.5,0.336,0.393,2.385,94.4,0.4178,0.7742,GN018918,1980-03-23 10:00:00
37.6,5.14,0.289,13.148,86.9,0.025,3.726,236.1,0.264,13.148,83.7,0.254,0.278,2.15,94.9,0.5467,0.7729,GN018918,1980-03-31 00:00:00
357.2,5.88,0.243,13.046,87.1,0.018,3.59,182.6,0.226,13.046,82.3,0.206,0.218,1.974,94.5,0.6415,0.7616,GN018918,1980-04-01 06:00:00
11.2,5.76,0.217,12.96,89.0,0.021,3.308,182.2,0.195,12.96,82.4,0.187,0.206,1.861,93.6,0.6747,0.7309,GN018918,1980-04-02 12:00:00
341.7,7.83,0.207,12.871,94.3,0.058,6.596,146.3,0.149,12.871,75.7,0.194,0.232,1.821,95.5,0.6596,0.6713,GN018918,1980-04-03 18:00:00
324.5,7.75,0.211,12.763,101.4,0.087,4.862,142.4,0.124,12.763,71.5,0.213,0.267,1.838,105.5,0.6529,0.6251,GN018918,1980-04-01 20:00:00
333.2,7.84,0.212,12.611,105.8,0.104,5.438,140.5,0.108,12.611,68.4,0.221,0.28,1.843,118.2,0.6555,0.6137,GN018918,1980-04-03 02:00:00
341.4,7.97,0.22,12.181,111.8,0.109,5.491,144.0,0.111,12.181,73.8,0.232,0.294,1.878,130.7,0.6505,0.6246,GN018918,1980-04-04 08:00:00
332.0,9.81,0.249,11.64,119.9,0.183,7.066,137.7,0.066,11.853,48.6,0.263,0.328,1.996,138.4,0.6773,0.6735,GN018918,1980-04-02 10:00:00
326.2,11.8,0.352,6.804,128.5,0.307,6.746,136.8,0.045,11.707,31.7,0.373,0.458,2.374,139.1,0.7512,0.7393,GN018918,1980-01-11 00:00:00
324.5,13.05,0.514,7.76,131.6,0.481,7.64,135.5,0.033,10.823,23.9,0.523,0.613,2.867,136.9,0.8122,0.7764,GN018918,1980-01-11 03:00:00
321.6,12.85,0.618,8.444,130.9,0.593,8.284,133.2,0.025,10.776,21.0,0.606,0.687,3.145,134.1,0.8373,0.7859,GN018918,1980-01-11 06:00:00
316.5,11.59,0.576,8.858,128.1,0.544,8.742,130.6,0.032,11.883,54.6,0.56,0.632,3.035,130.7,0.8446,0.7861,GN018918,1980-01-11 09:00:00
310.3,10.38,0.453,8.831,124.1,0.385,8.102,127.1,0.069,10.833,103.5,0.451,0.519,2.694,126.9,0.8436,0.7807,GN018918,1980-01-11 12:00:00
303.3,7.04,0.316,8.607,119.0,0.11,5.0,122.8,0.207,8.645,117.0,0.321,0.38,2.25,122.3,0.831,0.7636,GN018918,1980-01-11 15:00:00
276.2,4.17,0.215,8.286,112.5,0.015,3.59,102.5,0.2,8.286,113.2,0.218,0.256,1.855,116.5,0.8202,0.7482,GN018918,1980-01-11 18:00:00
229.5,7.26,0.167,8.057,103.2,0.055,5.437,80.5,0.113,8.17,114.6,0.174,0.212,1.636,107.9,0.807,0.7235,GN018918,1980-01-11 21:00:00
218.0,10.63,0.198,7.899,81.7,0.14,6.662,65.1,0.058,7.955,122.4,0.23,0.303,1.782,83.3,0.7853,0.6761,GN018918,1980-01-12 00:00:00
226.6,13.06,0.4,6.95,65.0,0.371,6.763,60.9,0.029,7.467,123.2,0.444,0.549,2.529,65.5,0.8306,0.7338,GN018918,1980-01-12 03:00:00
232.2,15.57,0.866,8.543,64.7,0.853,8.404,63.9,0.014,9.006,124.0,0.826,0.897,3.723,66.4,0.8534,0.7638,GN018918,1980-01-12 06:00:00
219.5,11.88,1.157,10.187,68.4,0.733,8.043,54.3,0.424,10.482,90.7,0.978,0.967,4.302,71.7,0.8399,0.7481,GN018918,1980-01-12 09:00:00
194.4,8.49,1.114,11.281,74.4,0.231,6.005,32.4,0.883,11.285,83.7,0.862,0.793,4.222,80.5,0.8236,0.739,GN018918,1980-01-12 12:00:00
151.8,12.16,1.04,11.89,76.3,0.223,6.537,8.3,0.817,11.909,90.4,0.793,0.733,4.079,89.0,0.7712,0.7189,GN018918,1980-01-12 15:00:00
131.8,16.18,1.109,12.128,55.9,0.379,6.071,335.1,0.73,12.134,86.3,0.943,0.967,4.212,104.4,0.5386,0.653,GN018918,1980-01-12 18:00:00
135.2,16.39,1.294,8.029,2.0,0.815,7.495,327.7,0.479,12.104,83.4,1.14,1.165,4.55,130.7,0.485,0.6519,GN018918,1980-01-12 21:00:00
138.4,16.66,1.376,8.919,342.3,1.092,8.658,329.0,0.284,11.79,76.5,1.189,1.184,4.692,324.7,0.6473,0.6938,GN018918,1980-01-13 00:00:00
174.3,16.71,1.563,9.769,349.4,1.45,9.691,346.7,0.114,11.747,110.2,1.299,1.251,5.002,344.8,0.773,0.7237,GN018918,1980-01-13 03:00:00
206.5,17.47,2.002,10.737,9.8,1.887,10.638,11.1,0.115,10.857,323.0,1.563,1.429,5.659,10.1,0.8385,0.7602,GN018918,1980-01-13 06:00:00
224.8,18.54,2.572,11.694,25.0,2.434,11.301,27.2,0.137,11.879,341.7,1.87,1.609,6.414,25.3,0.8559,0.7722,GN018918,1980-01-13 09:00:00
235.8,17.55,3.127,12.154,35.3,2.633,11.0,41.0,0.494,12.206,5.1,2.176,1.8,7.073,34.7,0.8495,0.7599,GN018918,1980-01-13 12:00:00
249.8,15.57,2.964,12.613,41.4,1.939,10.066,56.1,1.025,12.789,14.6,2.032,1.666,6.886,39.7,0.8297,0.7324,GN018918,1980-01-13 15:00:00
269.2,13.53,2.604,12.785,46.0,1.191,9.022,73.3,1.413,12.944,24.6,1.769,1.445,6.455,42.7,0.8052,0.7025,GN018918,1980-01-13 18:00:00
271.2,13.08,2.387,13.006,49.9,1.077,9.119,79.9,1.31,13.214,27.3,1.603,1.303,6.18,45.2,0.7891,0.6851,GN018918,1980-01-13 21:00:00
273.4,12.64,2.267,13.397,53.4,0.987,9.072,83.9,1.28,13.677,31.9,1.51,1.227,6.023,48.5,0.7883,0.685,GN018918,1980-01-14 00:00:00
245.9,11.09,2.093,13.857,54.8,0.663,8.082,72.6,1.43,13.873,46.9,1.378,1.109,5.787,50.5,0.8026,0.7025,GN018918,1980-01-14 03:00:00
205.8,9.79,1.87,13.904,54.2,0.376,7.275,51.2,1.494,13.904,54.9,1.213,0.959,5.471,50.5,0.8189,0.7221,GN018918,1980-01-14 06:00:00
190.4,9.83,1.664,13.784,53.4,0.351,7.95,42.2,1.313,13.784,56.3,1.073,0.842,5.159,50.3,0.8275,0.7326,GN018918,1980-01-14 09:00:00
175.5,9.93,1.498,13.371,52.4,0.298,7.946,30.5,1.199,13.377,57.7,0.973,0.772,4.895,50.6,0.8317,0.7383,GN018918,1980-01-14 12:00:00
183.7,8.37,1.349,13.173,52.2,0.164,6.031,18.8,1.184,13.173,56.5,0.877,0.697,4.645,51.6,0.8375,0.7463,GN018918,1980-01-14 15:00:00
